id_cliente,edad,antiguedad_meses,ingreso_mensual,tipo_producto,monto_cuota,tasa_interes_anual,porcentaje_uso_linea,dias_retraso_promedio,frecuencia_retrasos_6m,target_moroso
CUST-00064,49,43,1260.98,Tarjeta de Credito,350.52,27.8,0.33,10,1,0
CUST-00065,38,27,3497.06,Tarjeta de Credito,921.72,34.0,0.44,9,0,0
CUST-00066,46,69,2398.55,Tarjeta de Credito,484.58,36.8,0.89,50,6,1
CUST-00067,64,20,3099.44,Prestamo Personal,766.33,26.0,0.39,10,2,0
CUST-00068,54,11,1926.17,Tarjeta de Credito,390.2,19.4,0.88,78,6,1
CUST-00069,30,74,3825.59,Microcredito,1047.91,21.2,0.93,72,6,1
CUST-00070,56,104,1267.67,Prestamo Personal,228.88,24.4,0.66,11,0,0
CUST-00071,34,38,1391.53,Tarjeta de Credito,409.18,34.1,0.79,9,4,0
CUST-00072,51,6,3655.45,Tarjeta de Credito,1047.16,26.9,0.74,9,0,0
CUST-00073,35,72,800.0,Microcredito,198.66,15.2,0.69,9,0,0
CUST-00074,28,23,2802.86,Microcredito,436.92,30.7,0.36,12,3,0
CUST-00075,34,47,2414.14,Prestamo Personal,304.98,42.6,0.15,9,3,0
CUST-00076,43,90,1911.24,Tarjeta de Credito,517.83,39.4,0.39,14,3,0
CUST-00077,60,46,2340.05,Tarjeta de Credito,311.37,39.8,0.67,12,1,0
CUST-00078,41,107,1821.98,Tarjeta de Credito,493.49,38.9,0.19,15,3,0
CUST-00079,36,12,3733.8,Tarjeta de Credito,739.86,24.7,0.11,13,0,0
CUST-00080,38,90,3943.6,Prestamo Personal,715.02,38.0,0.22,16,5,0
CUST-00081,44,13,1951.41,Prestamo Personal,547.64,19.3,0.71,11,5,0
CUST-00082,46,104,2720.42,Prestamo Personal,600.59,34.7,0.93,61,4,1
CUST-00083,45,62,1439.94,Microcredito,310.05,34.2,0.94,59,5,1
CUST-00084,61,82,3358.44,Prestamo Personal,711.16,15.8,0.52,13,5,0
CUST-00085,49,89,3337.61,Tarjeta de Credito,581.52,38.6,0.84,11,3,0
CUST-00086,35,97,2263.79,Tarjeta de Credito,582.09,42.1,0.73,7,2,0
CUST-00087,21,111,2513.51,Microcredito,378.43,23.0,0.53,13,5,0
CUST-00088,45,104,2424.99,Tarjeta de Credito,697.86,39.4,0.59,63,2,1
CUST-00089,27,60,1205.23,Microcredito,336.01,17.5,0.22,12,1,0
CUST-00090,29,43,3736.8,Microcredito,625.9,33.0,0.9,67,5,1
CUST-00091,44,76,1886.44,Tarjeta de Credito,463.86,29.6,0.4,12,5,0
CUST-00092,21,108,1891.88,Prestamo Personal,406.08,31.4,0.48,12,5,0
CUST-00093,64,100,2379.66,Microcredito,398.66,42.8,0.67,9,2,0
CUST-00094,28,112,3296.44,Prestamo Personal,981.36,41.1,0.38,12,0,0
CUST-00095,44,68,2026.96,Microcredito,212.93,38.6,0.32,15,4,0
CUST-00096,31,5,938.25,Microcredito,141.23,23.2,0.64,13,5,0
CUST-00097,37,37,1790.4,Tarjeta de Credito,365.27,42.4,0.12,11,1,0
CUST-00098,28,72,2839.31,Tarjeta de Credito,580.33,17.9,0.71,13,2,0
CUST-00099,55,106,4251.8,Microcredito,925.99,40.6,0.54,11,5,0
CUST-00100,55,113,1492.06,Prestamo Personal,373.52,24.8,0.61,13,5,0
CUST-00101,53,92,1462.8,Tarjeta de Credito,328.68,16.6,0.64,10,2,0
CUST-00102,25,31,1289.92,Tarjeta de Credito,283.86,35.1,0.55,7,2,0
CUST-00103,62,9,1190.62,Prestamo Personal,131.81,21.9,0.6,9,3,0
CUST-00104,59,118,3464.55,Microcredito,607.36,22.3,0.68,8,5,0
CUST-00105,61,51,3695.75,Microcredito,541.1,24.2,0.74,13,4,0
CUST-00106,48,29,2642.2,Prestamo Personal,404.45,16.9,0.72,10,1,0
CUST-00107,27,78,2125.83,Tarjeta de Credito,448.27,20.3,0.84,80,2,1
CUST-00108,29,40,3932.92,Tarjeta de Credito,550.22,15.2,0.26,13,0,0
CUST-00109,28,41,2639.13,Microcredito,419.07,28.4,0.44,7,4,0
CUST-00110,32,86,3371.55,Tarjeta de Credito,497.02,17.5,0.91,53,4,1
CUST-00111,54,11,2086.84,Tarjeta de Credito,604.56,35.5,0.44,13,2,0
CUST-00112,53,23,2535.4,Tarjeta de Credito,732.56,22.1,0.21,9,2,0
CUST-00113,43,1,1510.13,Prestamo Personal,335.23,43.3,0.55,12,5,0
CUST-00114,44,46,3003.4,Microcredito,855.68,41.1,0.19,21,2,0
CUST-00115,57,101,2652.75,Tarjeta de Credito,682.19,23.7,0.27,16,2,0
CUST-00116,55,21,1784.35,Tarjeta de Credito,388.97,38.5,0.95,55,6,1
CUST-00117,64,90,1795.11,Prestamo Personal,181.82,39.1,0.56,7,5,0
CUST-00118,60,110,3792.77,Microcredito,965.27,44.6,0.34,10,4,0
CUST-00119,42,36,4077.34,Tarjeta de Credito,980.59,32.9,0.95,71,5,1
CUST-00120,47,54,2329.49,Tarjeta de Credito,519.59,17.5,0.92,53,6,1
CUST-00121,55,87,2554.2,Tarjeta de Credito,643.88,34.4,0.47,10,1,0
CUST-00122,21,57,2820.09,Microcredito,571.31,33.7,0.32,10,2,0
CUST-00123,55,1,2618.43,Tarjeta de Credito,630.56,34.2,0.81,11,3,0
CUST-00124,57,63,1160.56,Tarjeta de Credito,333.12,24.2,0.71,11,0,0
CUST-00125,34,54,2842.3,Prestamo Personal,497.86,40.8,0.68,14,4,0
CUST-00126,23,55,829.69,Prestamo Personal,200.47,43.8,0.86,7,3,0
CUST-00127,21,115,1913.85,Tarjeta de Credito,373.46,21.5,0.69,13,5,0
CUST-00128,25,40,2904.34,Microcredito,682.17,17.6,0.34,9,2,0
CUST-00129,46,15,2980.0,Tarjeta de Credito,752.68,20.8,0.69,83,4,1
CUST-00130,34,21,1851.94,Prestamo Personal,202.03,39.6,0.36,10,2,0
CUST-00131,59,47,2133.25,Tarjeta de Credito,489.2,35.3,0.75,8,3,0
CUST-00132,47,73,2024.93,Prestamo Personal,294.32,34.1,0.63,11,2,0
CUST-00133,29,53,2417.72,Tarjeta de Credito,565.76,27.1,0.17,10,5,0
CUST-00134,35,9,2478.56,Microcredito,480.01,32.3,0.54,10,3,0
CUST-00135,35,74,3034.77,Prestamo Personal,772.99,24.2,0.39,8,2,0
CUST-00136,46,52,2086.48,Prestamo Personal,260.14,29.3,0.38,14,0,0
CUST-00137,62,57,2798.72,Prestamo Personal,630.45,38.8,0.61,12,0,0
CUST-00138,33,117,2905.61,Prestamo Personal,452.39,44.4,0.37,7,1,0
CUST-00139,52,26,2658.63,Tarjeta de Credito,719.42,43.0,0.76,12,2,0
CUST-00140,59,41,2292.32,Tarjeta de Credito,654.86,43.0,0.16,12,2,0
CUST-00141,52,35,2644.52,Microcredito,791.45,27.1,0.66,12,3,0
CUST-00142,24,63,3101.39,Tarjeta de Credito,803.88,29.1,0.79,12,3,0
CUST-00143,50,116,3171.35,Prestamo Personal,795.21,36.2,0.67,13,2,0
CUST-00144,57,25,3952.3,Microcredito,565.57,42.7,0.52,15,1,0
CUST-00145,43,90,1707.98,Tarjeta de Credito,285.58,19.3,0.91,9,2,0
CUST-00146,59,75,2147.99,Prestamo Personal,414.86,24.1,0.35,11,5,0
CUST-00147,35,38,1209.23,Tarjeta de Credito,307.96,19.2,0.12,6,3,0
CUST-00148,63,2,3244.81,Prestamo Personal,918.26,33.4,0.47,18,2,0
CUST-00149,49,7,2232.39,Tarjeta de Credito,307.69,24.2,0.13,11,3,0
CUST-00150,56,82,2664.95,Tarjeta de Credito,758.11,24.8,0.91,76,4,1
CUST-00151,33,91,2016.53,Prestamo Personal,482.2,17.1,0.28,7,4,0
CUST-00152,52,34,2238.64,Microcredito,497.32,25.5,0.77,80,5,1
CUST-00153,27,91,3478.55,Prestamo Personal,486.89,40.9,0.76,12,1,0
CUST-00154,42,17,3055.39,Prestamo Personal,339.47,22.0,0.29,11,4,0
CUST-00155,48,43,2410.78,Tarjeta de Credito,515.17,35.9,0.63,14,5,0
CUST-00156,22,59,3114.25,Prestamo Personal,717.22,33.9,0.14,8,2,0
CUST-00157,62,108,3131.92,Tarjeta de Credito,445.22,40.9,0.51,11,5,0
CUST-00158,26,51,2186.86,Microcredito,462.06,19.0,0.11,13,3,0
CUST-00159,48,54,1324.74,Microcredito,359.4,44.3,0.88,77,6,1
CUST-00160,48,24,1780.67,Prestamo Personal,475.46,32.5,0.93,75,6,1
CUST-00161,64,25,1427.58,Microcredito,407.53,44.9,0.29,10,1,0
CUST-00162,64,71,3431.55,Tarjeta de Credito,594.27,42.3,0.28,8,3,0
CUST-00163,40,52,3570.49,Prestamo Personal,584.17,21.6,0.74,6,4,0
CUST-00164,50,70,3769.1,Tarjeta de Credito,941.84,16.7,0.32,17,5,0
CUST-00165,31,117,884.36,Microcredito,164.69,22.7,0.86,11,4,0
CUST-00166,48,88,3357.12,Tarjeta de Credito,394.49,30.8,0.59,11,4,0
CUST-00167,45,33,4269.75,Prestamo Personal,668.47,20.1,0.4,18,5,0
CUST-00168,59,49,3389.59,Microcredito,622.72,20.0,0.81,11,0,0
CUST-00169,53,29,800.0,Tarjeta de Credito,126.8,28.9,0.52,17,2,0
CUST-00170,21,63,3914.64,Tarjeta de Credito,651.56,16.0,0.87,11,3,0
CUST-00171,47,107,2533.35,Prestamo Personal,402.18,18.7,0.89,6,3,0
CUST-00172,33,22,2314.08,Tarjeta de Credito,250.61,27.5,0.24,13,3,0
CUST-00173,61,26,2860.88,Tarjeta de Credito,650.62,16.9,0.1,10,4,0
CUST-00174,23,28,1660.79,Tarjeta de Credito,364.47,26.9,0.94,69,6,1
CUST-00175,59,114,2502.23,Tarjeta de Credito,577.21,29.2,0.87,73,4,1
CUST-00176,26,85,3796.34,Microcredito,525.65,28.5,0.15,10,1,0
CUST-00177,28,49,2997.92,Prestamo Personal,477.06,41.1,0.81,12,3,0
CUST-00178,47,71,2546.72,Tarjeta de Credito,570.27,30.9,0.49,11,5,0
CUST-00179,29,81,2571.69,Tarjeta de Credito,565.58,29.0,0.32,15,2,0
CUST-00180,57,84,1554.88,Tarjeta de Credito,312.94,27.3,0.85,47,4,1
CUST-00181,53,105,2380.01,Tarjeta de Credito,404.8,39.5,0.27,17,0,0
CUST-00182,62,49,1192.56,Tarjeta de Credito,337.0,41.9,0.91,68,6,1
CUST-00183,64,20,3317.95,Tarjeta de Credito,557.26,40.6,0.27,16,3,0
CUST-00184,44,118,800.0,Tarjeta de Credito,152.9,35.2,0.62,14,4,0
CUST-00185,35,86,3183.92,Prestamo Personal,750.2,19.1,0.29,11,2,0
CUST-00186,52,92,3283.53,Tarjeta de Credito,684.96,23.3,0.56,11,2,0
CUST-00187,52,63,3555.01,Prestamo Personal,602.14,16.4,0.68,16,1,0
CUST-00188,44,61,2569.49,Prestamo Personal,480.83,42.9,0.26,14,0,0
CUST-00189,61,104,3233.3,Prestamo Personal,837.09,34.8,0.54,13,2,0
CUST-00190,32,49,2372.2,Prestamo Personal,369.18,37.4,0.5,17,2,0
CUST-00191,59,71,1550.64,Prestamo Personal,199.18,24.3,0.16,17,4,0
CUST-00192,22,1,3724.59,Microcredito,605.74,40.4,0.8,67,6,1
CUST-00193,23,96,2422.49,Prestamo Personal,653.85,22.8,0.39,16,1,0
CUST-00194,57,13,1372.39,Prestamo Personal,161.66,15.0,0.59,11,5,0
CUST-00195,37,94,2126.55,Microcredito,634.43,26.3,0.54,15,1,0
CUST-00196,22,87,2158.14,Prestamo Personal,449.33,32.1,0.54,16,1,0
CUST-00197,22,51,2869.36,Tarjeta de Credito,852.11,29.4,0.19,13,4,0
CUST-00198,48,56,4377.64,Tarjeta de Credito,1259.88,40.9,0.46,16,5,0
CUST-00199,43,83,2917.93,Tarjeta de Credito,556.05,18.2,0.48,13,4,0
CUST-00200,57,62,2665.48,Microcredito,372.36,31.6,0.72,6,0,0
CUST-00201,52,32,4464.62,Prestamo Personal,593.69,30.4,0.81,7,3,0
CUST-00202,53,30,3283.11,Microcredito,485.89,23.4,0.56,16,3,0
CUST-00203,21,29,2703.4,Prestamo Personal,654.29,39.7,0.17,12,0,0
CUST-00204,39,49,2116.47,Tarjeta de Credito,327.19,37.6,0.3,12,3,0
CUST-00205,22,45,2752.96,Tarjeta de Credito,463.28,37.0,0.24,11,5,0
CUST-00206,64,93,2446.89,Prestamo Personal,464.31,41.3,0.21,11,4,0
CUST-00207,46,30,2573.15,Prestamo Personal,727.29,36.7,0.41,11,3,0
CUST-00208,52,16,3551.52,Microcredito,489.68,22.0,0.29,11,5,0
CUST-00209,26,40,2067.74,Tarjeta de Credito,208.85,36.2,0.29,11,4,0
CUST-00210,52,19,2910.83,Prestamo Personal,326.07,24.2,0.15,18,5,0
CUST-00211,24,18,3259.15,Prestamo Personal,915.67,22.3,0.12,23,0,0
CUST-00212,31,1,1970.31,Prestamo Personal,452.19,17.2,0.19,15,1,0
CUST-00213,37,78,1841.9,Prestamo Personal,284.77,37.3,0.25,13,0,0
CUST-00214,58,115,2379.73,Prestamo Personal,322.31,36.3,0.47,9,3,0
CUST-00215,44,47,2130.7,Tarjeta de Credito,338.47,22.0,0.53,12,4,0
CUST-00216,25,114,3421.87,Prestamo Personal,420.75,37.5,0.22,12,5,0
CUST-00217,54,66,1698.59,Prestamo Personal,489.71,42.5,0.46,12,3,0
CUST-00218,26,118,2554.78,Microcredito,656.17,18.2,0.39,11,3,0
CUST-00219,42,92,4536.84,Microcredito,873.24,22.0,0.26,10,1,0
CUST-00220,31,113,2830.45,Tarjeta de Credito,772.69,37.5,0.11,16,3,0
CUST-00221,36,114,2963.43,Tarjeta de Credito,444.19,23.2,0.5,10,1,0
CUST-00222,53,94,3428.55,Microcredito,834.59,33.7,0.68,14,4,0
CUST-00223,29,38,2129.64,Prestamo Personal,577.61,17.4,0.29,9,4,0
CUST-00224,26,51,1634.86,Microcredito,280.14,28.6,0.21,14,5,0
CUST-00225,36,63,2641.21,Tarjeta de Credito,664.25,37.2,0.85,83,3,1
CUST-00226,49,4,2712.32,Prestamo Personal,431.3,35.6,0.33,10,0,0
CUST-00227,23,1,1205.43,Microcredito,192.59,39.5,0.29,14,4,0
CUST-00228,40,8,2800.06,Microcredito,339.96,41.3,0.83,61,6,1
CUST-00229,56,29,3355.88,Tarjeta de Credito,630.94,38.2,0.79,63,2,1
CUST-00230,39,55,1769.64,Prestamo Personal,435.23,35.1,0.48,6,4,0
CUST-00231,46,103,2848.44,Prestamo Personal,820.48,16.0,0.52,8,4,0
CUST-00232,23,3,3213.81,Tarjeta de Credito,709.48,31.0,0.29,18,5,0
CUST-00233,39,32,2969.34,Prestamo Personal,809.52,16.1,0.17,12,5,0
CUST-00234,40,10,3044.8,Prestamo Personal,805.35,39.2,0.59,14,2,0
CUST-00235,52,74,2304.16,Microcredito,310.3,24.6,0.18,13,3,0
CUST-00236,27,83,1598.0,Tarjeta de Credito,315.07,31.9,0.48,13,3,0
CUST-00237,61,110,2142.28,Tarjeta de Credito,264.32,23.4,0.9,52,2,1
CUST-00238,53,34,2031.15,Tarjeta de Credito,480.23,38.5,0.91,6,3,0
CUST-00239,60,97,2435.79,Tarjeta de Credito,706.33,41.6,0.3,14,0,0
CUST-00240,59,87,3374.62,Tarjeta de Credito,429.99,27.0,0.63,10,4,0
CUST-00241,38,55,1450.53,Prestamo Personal,357.96,40.9,0.5,13,2,0
CUST-00242,60,92,2615.4,Tarjeta de Credito,592.25,23.0,0.84,10,2,0
CUST-00243,21,32,1649.28,Microcredito,357.43,31.0,0.33,10,4,0
CUST-00244,31,50,1907.96,Microcredito,339.66,40.8,0.1,6,5,0
CUST-00245,48,7,2946.99,Prestamo Personal,504.01,24.8,0.24,12,1,0
CUST-00246,45,93,1548.04,Microcredito,168.81,43.6,0.4,13,1,0
CUST-00247,43,8,3087.4,Prestamo Personal,443.29,18.7,0.37,16,3,0
CUST-00248,51,65,1418.27,Prestamo Personal,146.13,15.5,0.77,15,5,0
CUST-00249,50,57,3033.58,Tarjeta de Credito,656.11,42.1,0.68,14,0,0
CUST-00250,62,119,1260.37,Tarjeta de Credito,152.72,17.1,0.35,11,2,0
CUST-00251,55,67,2005.75,Prestamo Personal,550.79,44.8,0.49,10,3,0
CUST-00252,27,88,4017.2,Microcredito,822.03,43.5,0.18,12,4,0
CUST-00253,36,87,3866.84,Tarjeta de Credito,927.8,19.1,0.86,8,5,0
CUST-00254,46,59,2169.98,Microcredito,395.31,31.1,0.9,7,2,0
CUST-00255,22,72,2811.97,Prestamo Personal,596.46,20.5,0.93,65,2,1
CUST-00256,21,54,3463.25,Tarjeta de Credito,999.26,27.8,0.84,9,0,0
CUST-00257,32,111,3045.04,Microcredito,354.89,16.8,0.25,9,1,0
CUST-00258,25,101,2281.23,Prestamo Personal,343.98,21.7,0.14,13,3,0
CUST-00259,57,67,1901.09,Tarjeta de Credito,486.67,25.9,0.59,10,4,0
CUST-00260,52,51,3194.48,Prestamo Personal,382.53,28.2,0.88,11,2,0
CUST-00261,29,97,3404.56,Tarjeta de Credito,391.97,44.3,0.25,6,0,0
CUST-00262,61,92,3872.56,Prestamo Personal,667.27,39.2,0.11,15,2,0
CUST-00263,55,111,1150.2,Tarjeta de Credito,136.22,37.1,0.78,7,4,0
CUST-00264,39,8,1497.5,Tarjeta de Credito,324.98,31.1,0.17,12,2,0
CUST-00265,36,34,3429.54,Microcredito,498.16,40.2,0.45,10,3,0
CUST-00266,23,35,1258.78,Prestamo Personal,351.38,25.2,0.68,6,1,0
CUST-00267,40,96,3490.84,Tarjeta de Credito,896.1,36.3,0.3,10,2,0
CUST-00268,44,88,2328.05,Tarjeta de Credito,558.59,44.8,0.17,11,5,0
CUST-00269,53,78,2083.27,Microcredito,465.38,24.4,0.75,53,3,1
CUST-00270,44,32,2664.34,Tarjeta de Credito,726.55,35.2,0.64,15,4,0
CUST-00271,31,46,1423.71,Tarjeta de Credito,205.89,40.3,0.94,69,3,1
CUST-00272,28,107,3159.21,Tarjeta de Credito,867.59,42.5,0.39,16,2,0
CUST-00273,56,16,3851.71,Tarjeta de Credito,993.35,36.5,0.15,12,2,0
CUST-00274,58,68,3196.46,Microcredito,797.94,23.5,0.72,8,5,0
CUST-00275,60,116,2302.79,Prestamo Personal,488.77,24.8,0.54,11,0,0
CUST-00276,40,37,1269.57,Tarjeta de Credito,189.48,15.6,0.28,18,5,0
CUST-00277,55,54,1300.33,Prestamo Personal,240.18,37.8,0.76,11,2,0
CUST-00278,45,85,1436.29,Tarjeta de Credito,371.59,16.3,0.27,18,1,0
CUST-00279,55,14,2490.18,Microcredito,264.84,40.9,0.32,10,5,0
CUST-00280,45,95,2590.72,Microcredito,664.29,18.6,0.18,11,5,0
CUST-00281,49,55,3194.75,Tarjeta de Credito,472.87,20.2,0.44,15,0,0
CUST-00282,38,48,1063.18,Microcredito,137.0,29.3,0.46,11,2,0
CUST-00283,38,82,3548.97,Prestamo Personal,437.02,37.1,0.54,7,2,0
CUST-00284,22,7,3055.53,Tarjeta de Credito,322.21,19.2,0.7,8,4,0
CUST-00285,55,74,2238.53,Tarjeta de Credito,458.27,28.2,0.87,6,0,0
CUST-00286,36,7,1548.19,Tarjeta de Credito,222.4,29.5,0.22,11,4,0
CUST-00287,61,33,3499.31,Prestamo Personal,1042.4,21.4,0.15,4,4,0
CUST-00288,56,23,2259.92,Microcredito,485.63,18.5,0.12,17,4,0
CUST-00289,53,85,2483.98,Prestamo Personal,316.9,40.1,0.22,13,3,0
CUST-00290,24,19,2806.89,Microcredito,667.35,30.1,0.66,55,6,1
CUST-00291,53,112,1769.44,Prestamo Personal,494.64,15.4,0.72,76,6,1
CUST-00292,34,19,2274.26,Microcredito,566.37,39.1,0.77,62,3,1
CUST-00293,41,36,3192.25,Prestamo Personal,368.03,44.4,0.31,11,5,0
CUST-00294,40,29,3111.28,Tarjeta de Credito,868.6,33.2,0.36,6,5,0
CUST-00295,28,60,3118.49,Prestamo Personal,807.02,30.1,0.51,14,2,0
CUST-00296,27,82,1575.86,Microcredito,207.48,41.4,0.15,11,3,0
CUST-00297,23,2,2310.74,Tarjeta de Credito,255.01,43.6,0.62,11,4,0
CUST-00298,37,1,2182.88,Microcredito,461.6,37.6,0.94,41,4,1
CUST-00299,53,47,2840.14,Tarjeta de Credito,372.65,28.4,0.41,13,0,0
CUST-00300,32,69,2768.53,Prestamo Personal,738.97,32.8,0.74,10,0,0
CUST-00301,42,20,2624.34,Microcredito,450.51,36.0,0.53,9,2,0
CUST-00302,42,11,4472.59,Tarjeta de Credito,1263.86,20.8,0.21,11,1,0
CUST-00303,50,106,2267.36,Tarjeta de Credito,483.26,28.4,0.59,14,2,0
CUST-00304,58,2,2173.74,Tarjeta de Credito,296.79,39.9,0.35,7,2,0
CUST-00305,58,67,1574.6,Microcredito,201.42,34.6,0.13,12,3,0
CUST-00306,28,87,1269.72,Tarjeta de Credito,273.36,27.3,0.64,5,0,0
CUST-00307,47,119,1523.75,Microcredito,384.56,34.9,0.83,63,2,1
CUST-00308,47,12,1925.05,Tarjeta de Credito,493.39,18.5,0.39,21,4,0
CUST-00309,54,20,3548.06,Microcredito,550.49,27.0,0.43,12,5,0
CUST-00310,41,5,2531.33,Microcredito,356.54,38.8,0.86,10,2,0
CUST-00311,50,37,2654.66,Tarjeta de Credito,274.36,21.6,0.79,7,2,0
CUST-00312,53,38,2422.98,Prestamo Personal,571.44,20.6,0.71,13,1,0
CUST-00313,48,94,2792.24,Tarjeta de Credito,321.98,43.5,0.31,15,0,0
CUST-00314,53,9,3621.66,Prestamo Personal,666.94,21.3,0.87,78,3,1
CUST-00315,25,98,904.86,Tarjeta de Credito,199.37,22.8,0.23,6,3,0
CUST-00316,39,53,3474.67,Tarjeta de Credito,998.7,44.1,0.63,8,4,0
CUST-00317,24,44,800.0,Tarjeta de Credito,129.89,37.0,0.12,14,1,0
CUST-00318,55,99,2522.56,Tarjeta de Credito,378.27,36.0,0.65,9,0,0
CUST-00319,37,116,4253.53,Tarjeta de Credito,981.85,40.6,0.34,11,3,0
